bench,tray,genus,habitat,condition,replica,plate,N,day_2,day_4,day_6,day_8,day_10,day_12,day_14
bench_g,tray_1,acacia,dry,low,1,1,4,2,3,3,3,3,3,3
bench_g,tray_1,acacia,mst,low,1,2,4,0,2,4,4,4,4,4
bench_g,tray_1,acacia,dry,low,2,3,4,0,4,4,4,4,4,4
bench_g,tray_1,acacia,mst,low,2,4,4,0,3,3,3,3,3,3
bench_g,tray_1,acacia,dry,low,3,5,4,2,4,4,4,4,4,4
bench_g,tray_1,acacia,mst,low,3,6,4,0,2,4,4,4,4,4
bench_g,tray_1,acacia,dry,low,4,7,4,0,3,3,3,3,3,3
bench_g,tray_1,acacia,mst,low,4,8,4,0,4,4,4,4,4,4
bench_g,tray_1,acacia,dry,med,1,9,8,0,1,5,6,6,6,6
bench_g,tray_1,acacia,mst,med,1,10,8,0,1,7,8,8,8,8
bench_g,tray_1,acacia,dry,med,2,11,8,0,4,8,8,8,8,8
bench_g,tray_1,acacia,mst,med,2,12,8,0,4,7,7,7,7,7
bench_g,tray_1,acacia,dry,high,1,13,16,1,10,11,11,11,11,11
bench_g,tray_1,acacia,mst,high,1,14,16,8,11,11,11,11,11,11
bench_g,tray_2,poa,dry,low,1,1,4,0,0,1,1,1,1,1
bench_g,tray_2,poa,mst,low,1,2,4,0,1,2,2,2,2,2
bench_g,tray_2,poa,dry,low,2,3,4,0,2,2,2,2,2,2
bench_g,tray_2,poa,mst,low,2,4,4,0,1,2,2,2,2,2
bench_g,tray_2,poa,dry,low,3,5,4,0,0,1,2,2,2,2
bench_g,tray_2,poa,mst,low,3,6,4,0,0,2,2,2,2,2
bench_g,tray_2,poa,dry,low,4,7,4,0,0,2,2,2,2,2
bench_g,tray_2,poa,mst,low,4,8,4,0,2,2,2,2,2,2
bench_g,tray_2,poa,dry,med,1,9,8,0,2,4,4,4,4,4
bench_g,tray_2,poa,mst,med,1,10,8,0,2,4,4,4,4,4
bench_g,tray_2,poa,dry,med,2,11,8,0,4,4,4,4,4,4
bench_g,tray_2,poa,mst,med,2,12,8,0,4,4,4,4,4,4
bench_g,tray_2,poa,dry,high,1,13,16,0,2,5,5,5,5,5
bench_g,tray_2,poa,mst,high,1,14,16,1,2,4,5,5,5,5
bench_g,tray_3,dodonea,dry,low,1,1,4,0,0,3,3,3,3,3
bench_g,tray_3,dodonea,mst,low,1,2,4,0,2,2,2,2,2,2
bench_g,tray_3,dodonea,dry,low,2,3,4,0,0,3,3,3,3,3
bench_g,tray_3,dodonea,mst,low,2,4,4,0,3,3,3,3,3,3
bench_g,tray_3,dodonea,dry,low,3,5,4,0,1,2,2,2,2,2
bench_g,tray_3,dodonea,mst,low,3,6,4,0,2,3,3,3,3,3
bench_g,tray_3,dodonea,dry,low,4,7,4,0,0,3,3,3,3,3
bench_g,tray_3,dodonea,mst,low,4,8,4,0,3,3,3,3,3,3
bench_g,tray_3,dodonea,dry,med,1,9,8,0,1,4,5,5,5,5
bench_g,tray_3,dodonea,mst,med,1,10,8,0,2,5,5,5,5,5
bench_g,tray_3,dodonea,dry,med,2,11,8,0,0,2,4,4,4,4
bench_g,tray_3,dodonea,mst,med,2,12,8,0,1,4,5,5,5,5
bench_g,tray_3,dodonea,dry,high,1,13,16,0,1,5,6,6,6,6
bench_g,tray_3,dodonea,mst,high,1,14,16,1,4,7,8,8,8,8
bench_g,tray_4,eucalyptus,dry,low,1,1,4,0,2,3,3,3,3,3
bench_g,tray_4,eucalyptus,mst,low,1,2,4,0,0,3,3,3,3,3
bench_g,tray_4,eucalyptus,dry,low,2,3,4,2,3,3,3,3,3,3
bench_g,tray_4,eucalyptus,mst,low,2,4,4,0,2,3,3,3,3,3
bench_g,tray_4,eucalyptus,dry,low,3,5,4,0,2,3,3,3,3,3
bench_g,tray_4,eucalyptus,mst,low,3,6,4,0,2,3,3,3,3,3
bench_g,tray_4,eucalyptus,dry,low,4,7,4,2,3,3,3,3,3,3
bench_g,tray_4,eucalyptus,mst,low,4,8,4,0,2,3,3,3,3,3
bench_g,tray_4,eucalyptus,dry,med,1,9,8,3,6,6,6,6,6,6
bench_g,tray_4,eucalyptus,mst,med,1,10,8,0,2,5,5,5,5,5
bench_g,tray_4,eucalyptus,dry,med,2,11,8,0,3,6,6,6,6,6
bench_g,tray_4,eucalyptus,mst,med,2,12,8,1,5,6,6,6,6,6
bench_g,tray_4,eucalyptus,dry,high,1,13,16,6,7,7,7,7,7,7
bench_g,tray_4,eucalyptus,mst,high,1,14,16,1,4,7,8,8,8,8
